zipcode,city,lat,long,state,county
38601,abbeville,34.4853103,-89.49311759999999,Mississippi,Lafayette County
38602,arkabutla,34.6985459,-90.123003,Mississippi,Tate County
38603,ashland,34.8151808,-89.1324866,Mississippi,Benton County
38606,batesville,34.3088241,-89.9813445,Mississippi,Panola County
38609,belen,34.27,-90.35,Mississippi,Quitman County
38610,blue mountain,34.6597441,-89.0370477,Mississippi,Tippah County
38611,byhalia,34.8177943,-89.6628111,Mississippi,Marshall County
38614,clarksdale,34.1960298,-90.6393702,Mississippi,Coahoma County
38617,coahoma,34.3521971,-90.5068824,Mississippi,Coahoma County
38618,coldwater,34.7077309,-89.9066314,Mississippi,Tate County
38619,como,34.5305112,-89.7942892,Mississippi,Panola County
38620,courtland,34.2532568,-89.9346659,Mississippi,Panola County
38621,crenshaw,34.4418921,-90.1682271,Mississippi,Panola County
38622,crowder,34.1733225,-90.1363593,Mississippi,Panola County
38623,darling,34.3584822,-90.27609029999999,Mississippi,Quitman County
38625,dumas,34.6248073,-88.83590319999999,Mississippi,Tippah County
38626,dundee,34.5521451,-90.4125181,Mississippi,Tunica County
38627,etta,34.4283064,-89.19916119999999,Mississippi,Union County
38628,falcon,34.3946766,-90.25165919999999,Mississippi,Quitman County
38629,falkner,34.86942700000001,-89.0083726,Mississippi,Tippah County
38630,farrell,34.2025999,-90.57106999999999,Mississippi,Coahoma County
38631,friars point,34.3682543,-90.634631,Mississippi,Coahoma County
38632,hernando,34.7961707,-90.0186555,Mississippi,DeSoto County
38633,hickory flat,34.6388471,-89.20867729999999,Mississippi,Benton County
38634,holly springs,34.77,-89.45,Mississippi,Marshall County
38635,holly springs,34.7289034,-89.5120084,Mississippi,Marshall County
38637,horn lake,34.9616778,-90.04665589999999,Mississippi,DeSoto County
38638,independence,34.7050591,-89.8100559,Mississippi,Tate County
38639,jonestown,34.319802,-90.4564484,Mississippi,Coahoma County
38641,lake cormorant,34.8843708,-90.1682271,Mississippi,DeSoto County
38642,lamar,34.8822792,-89.2657266,Mississippi,Benton County
38643,lambert,34.1306999,-90.2432307,Mississippi,Quitman County
38644,lula,34.4549458,-90.47618930000002,Mississippi,Coahoma County
38645,lyon,34.2633439,-90.5068824,Mississippi,Coahoma County
38646,marks,34.2861473,-90.3371889,Mississippi,Quitman County
38647,michigan city,34.9702649,-89.2277026,Mississippi,Benton County
38649,mount pleasant,34.94,-89.53,Mississippi,Marshall County
38650,myrtle,34.52775,-89.1515476,Mississippi,Union County
38651,nesbit,34.8955106,-90.04665589999999,Mississippi,DeSoto County
38652,new albany,34.4605576,-89.0561532,Mississippi,Union County
38654,olive branch,34.9284937,-89.83177289999999,Mississippi,DeSoto County
38655,oxford,34.2853188,-89.436391,Mississippi,Lafayette County
38658,pope,34.17537480000001,-89.8692203,Mississippi,Panola County
38659,potts camp,34.6175019,-89.341667,Mississippi,Marshall County
38661,red banks,34.9167851,-89.5591963,Mississippi,Marshall County
38663,ripley,34.7468892,-88.8838834,Mississippi,Tippah County
38664,robinsonville,34.7958497,-90.2807868,Mississippi,Tunica County
38665,sarah,34.5748728,-90.1682271,Mississippi,Tate County
38666,sardis,34.3976229,-89.9440061,Mississippi,Panola County
38668,senatobia,34.6192004,-89.8692203,Mississippi,Tate County
38669,sherard,34.22000000000001,-90.7099999,Mississippi,Coahoma County
38670,sledge,34.44168640000001,-90.2807868,Mississippi,Quitman County
38671,southaven,34.9837306,-89.99067339999999,Mississippi,DeSoto County
38672,southaven,34.9341033,-89.9299949,Mississippi,DeSoto County
38673,taylor,34.2971182,-89.6157473,Mississippi,Lafayette County
38674,tiplersville,34.8906781,-88.91264489999999,Mississippi,Tippah County
38675,tula,34.2299999,-89.36,Mississippi,Lafayette County
38676,tunica,34.7072488,-90.3560076,Mississippi,Tunica County
38677,university,34.367641,-89.5391483,Mississippi,Lafayette County
38679,victoria,34.8461169,-89.617768,Mississippi,Marshall County
38680,walls,34.9616263,-90.12142349999999,Mississippi,DeSoto County
38683,walnut,34.9231494,-88.8455037,Mississippi,Tippah County
38685,waterford,34.6182219,-89.49311759999999,Mississippi,Marshall County
38686,walls,34.9485011,-90.154454,Mississippi,Desoto County
38701,greenville,33.3664005,-91.07777229999999,Mississippi,Washington County
38702,greenville,33.28,-91.02,Mississippi,Washington County
38703,greenville,33.5009356,-91.07777229999999,Mississippi,Washington County
38704,greenville,33.399799,-91.0276332,Mississippi,Washington County
38720,alligator,34.1172112,-90.8008388,Mississippi,Bolivar County
38721,anguilla,33.0094239,-90.6962853,Mississippi,Sharkey County
38722,arcola,33.26600000000001,-90.87760999999999,Mississippi,Washington County
38723,avon,33.2307069,-91.04739169999999,Mississippi,Washington County
38725,benoit,33.6359218,-91.0011902,Mississippi,Bolivar County
38726,beulah,33.7253801,-91.0011902,Mississippi,Bolivar County
38730,boyle,33.6820539,-90.810357,Mississippi,Bolivar County
38731,chatham,33.0801752,-91.0442502,Mississippi,Washington County
38732,cleveland,33.7721644,-90.6962853,Mississippi,Bolivar County
38733,cleveland,33.7457592,-90.7339765,Mississippi,Bolivar County
38736,doddsville,33.6385904,-90.5825359,Mississippi,Sunflower County
38737,drew,33.8622565,-90.5446912,Mississippi,Sunflower County
38738,parchman,33.81232,-90.52923,Mississippi,Sunflower County
38739,dublin,34.0770695,-90.4950746,Mississippi,Coahoma County
38740,duncan,34.0392068,-90.810357,Mississippi,Bolivar County
38744,glen allan,33.0073604,-91.0011902,Mississippi,Washington County
38745,grace,32.9995635,-90.9559864,Mississippi,Issaquena County
38746,gunnison,33.9492457,-90.9247501,Mississippi,Bolivar County
38748,hollandale,33.1214041,-90.7913227,Mississippi,Washington County
38749,holly ridge,33.45,-90.75,Mississippi,Sunflower County
38751,indianola,33.4590347,-90.658333,Mississippi,Sunflower County
38753,inverness,33.3585203,-90.5730713,Mississippi,Sunflower County
38754,isola,33.23478470000001,-90.62041649999999,Mississippi,Humphreys County
38756,leland,33.403366,-90.8996741,Mississippi,Washington County
38759,merigold,33.8163909,-90.7722974,Mississippi,Bolivar County
38760,metcalfe,33.4495208,-91.0286955,Mississippi,Washington County
38761,moorhead,33.4150435,-90.46910969999999,Mississippi,Sunflower County
38762,mound bayou,33.8948108,-90.724773,Mississippi,Bolivar County
38764,pace,33.7994389,-90.871977,Mississippi,Bolivar County
38765,panther burn,33.0588492,-90.8913523,Mississippi,Sharkey County
38767,rena lara,34.1497123,-90.7817517,Mississippi,Coahoma County
38768,rome,33.9683692,-90.5116066,Mississippi,Sunflower County
38769,rosedale,33.85971019999999,-90.9629523,Mississippi,Bolivar County
38771,ruleville,33.7282241,-90.5446912,Mississippi,Sunflower County
38772,scott,33.5792435,-91.0873551,Mississippi,Bolivar County
38773,shaw,33.59279360000001,-90.7722974,Mississippi,Bolivar County
38774,shelby,33.9505233,-90.73427339999999,Mississippi,Bolivar County
38776,stoneville,33.4405622,-90.9199773,Mississippi,Washington County
38778,sunflower,33.5493749,-90.5068824,Mississippi,Sunflower County
38780,wayside,33.2688642,-91.0338144,Mississippi,Washington County
38781,winstonville,33.9085713,-90.7556575,Mississippi,Bolivar County
38782,winterville,33.5,-91.06000000000002,Mississippi,Washington County
38801,tupelo,34.21377349999999,-88.7686382,Mississippi,Lee County
38802,tupelo,34.2565302,-88.724929,Mississippi,Lee County
38803,tupelo,34.2565302,-88.724929,Mississippi,Lee County
38804,tupelo,34.2684438,-88.6819958,Mississippi,Lee County
38820,algoma,34.17397,-89.03139999999999,Mississippi,Pontotoc County
38821,amory,33.9876974,-88.4597673,Mississippi,Monroe County
38824,baldwyn,34.5232901,-88.6530753,Mississippi,Prentiss County
38825,becker,33.9291497,-88.4784449,Mississippi,Monroe County
38826,belden,34.3146049,-88.8551019,Mississippi,Lee County
38827,belmont,34.52822930000001,-88.1779182,Mississippi,Tishomingo County
38828,blue springs,34.4369367,-88.8838834,Mississippi,Union County
38829,booneville,34.6324369,-88.5178518,Mississippi,Prentiss County
38833,burnsville,34.9173663,-88.3433623,Mississippi,Tishomingo County
38834,corinth,34.8984684,-88.59517509999999,Mississippi,Alcorn County
38835,corinth,34.93,-88.52,Mississippi,Alcorn County
38838,dennis,34.5621641,-88.22664340000001,Mississippi,Tishomingo County
38839,derma,33.8565089,-89.28531869999999,Mississippi,Calhoun County
38841,ecru,34.3491665,-88.99880979999999,Mississippi,Pontotoc County
38843,fulton,34.275721,-88.362785,Mississippi,Itawamba County
38844,gattman,28.115763,-81.579711,Florida,Monroe County
38846,glen,34.8407959,-88.3919026,Mississippi,Alcorn County
38847,golden,34.429206,-88.22664340000001,Mississippi,Itawamba County
38848,greenwood springs,33.9295271,-88.2753144,Mississippi,Monroe County
38849,guntown,34.4681973,-88.6819958,Mississippi,Lee County
38850,houlka,34.0381114,-89.0370477,Mississippi,Chickasaw County
38851,houston,33.9261914,-88.9796776,Mississippi,Chickasaw County
38852,iuka,34.8051099,-88.2071598,Mississippi,Tishomingo County
38855,mantachie,34.3440756,-88.49849909999999,Mississippi,Itawamba County
38856,marietta,34.4766943,-88.4597673,Mississippi,Prentiss County
38857,mooreville,34.26737310000001,-88.58551729999999,Mississippi,Lee County
38858,nettleton,34.1222666,-88.5371958,Mississippi,Monroe County
38859,new site,34.5200171,-88.38219889999999,Mississippi,Prentiss County
38860,okolona,33.9911608,-88.7686382,Mississippi,Chickasaw County
38862,plantersville,34.1566439,-88.62413509999999,Mississippi,Lee County
38863,pontotoc,34.1940742,-89.0561532,Mississippi,Pontotoc County
38864,randolph,34.1282781,-89.18964299999999,Mississippi,Pontotoc County
38865,rienzi,34.7878776,-88.57585739999999,Mississippi,Alcorn County
38866,saltillo,34.3906718,-88.6916315,Mississippi,Lee County
38868,shannon,34.1247941,-88.7686382,Mississippi,Lee County
38869,sherman,34.3574333,-88.83470299999999,Mississippi,Pontotoc County
38870,smithville,34.0752962,-88.3433623,Mississippi,Monroe County
38871,thaxton,34.3174478,-89.2181911,Mississippi,Pontotoc County
38873,tishomingo,34.6512482,-88.2655845,Mississippi,Tishomingo County
38874,toccopola,34.26,-89.22999999999999,Mississippi,Pontotoc County
38875,trebloc,33.8410619,-88.8304426,Mississippi,Chickasaw County
38876,tremont,34.1626895,-88.22664340000001,Mississippi,Itawamba County
38877,van vleet,33.9840895,-88.90545639999999,Mississippi,Chickasaw County
38878,vardaman,33.9054364,-89.18964299999999,Mississippi,Calhoun County
38879,verona,34.1994609,-88.727746,Mississippi,Lee County
38880,wheeler,34.5802049,-88.605434,Mississippi,Prentiss County
38901,grenada,33.7516314,-89.81303559999999,Mississippi,Grenada County
38902,grenada,33.78215,-89.8287335,Mississippi,Grenada County
38913,banner,34.1295643,-89.41746409999999,Mississippi,Calhoun County
38914,big creek,33.8510525,-89.44585099999999,Mississippi,Calhoun County
38915,bruce,34.0401106,-89.341667,Mississippi,Calhoun County
38916,calhoun city,33.8170488,-89.341667,Mississippi,Calhoun County
38917,carrollton,33.5727971,-89.9626799,Mississippi,Carroll County
38920,cascilla,33.8634418,-90.0559939,Mississippi,Tallahatchie County
38921,charleston,34.0195319,-90.11206960000001,Mississippi,Tallahatchie County
38922,coffeeville,33.9299395,-89.6628111,Mississippi,Yalobusha County
38923,coila,33.3710557,-89.9813445,Mississippi,Carroll County
38924,cruger,33.3259976,-90.20571079999999,Mississippi,Holmes County
